room_size,budget,noise_level,sunlight,room_type,window_type,glass_type,material_type
medium,high,medium,low,living,sliding,double,aluminium_premium
large,low,low,medium,office,casement,single,aluminium_standard
large,low,high,low,living,sliding,double,aluminium_basic
small,low,low,high,living,casement,toughened,aluminium_basic
large,low,high,medium,office,sliding,toughened,aluminium_basic
large,high,medium,low,bedroom,sliding,toughened,aluminium_standard
medium,high,medium,high,living,sliding,toughened,aluminium_premium
small,medium,high,medium,living,casement,toughened,aluminium_standard
medium,high,medium,high,kitchen,sliding,toughened,aluminium_standard
medium,high,medium,low,living,sliding,double,aluminium_premium
medium,medium,medium,low,office,sliding,double,aluminium_basic
medium,high,medium,low,kitchen,sliding,double,aluminium_premium
medium,low,high,low,bedroom,sliding,toughened,aluminium_basic
medium,low,low,medium,kitchen,casement,single,aluminium_basic
medium,medium,low,medium,office,casement,double,aluminium_standard
small,medium,medium,high,office,casement,toughened,aluminium_standard
large,medium,low,low,kitchen,sliding,double,aluminium_basic
medium,low,low,high,bedroom,sliding,toughened,aluminium_basic
medium,high,medium,medium,kitchen,sliding,double,aluminium_premium
medium,low,medium,low,bedroom,casement,single,aluminium_basic
medium,medium,low,low,kitchen,casement,single,aluminium_basic
medium,high,high,medium,office,sliding,toughened,aluminium_premium
medium,high,medium,medium,living,sliding,toughened,aluminium_premium
large,low,high,medium,living,sliding,double,aluminium_basic
large,medium,low,medium,bedroom,casement,double,aluminium_standard
medium,low,medium,medium,bedroom,casement,single,aluminium_basic
large,high,high,low,bedroom,sliding,double,aluminium_standard
small,low,medium,medium,office,sliding,single,aluminium_basic
medium,low,low,low,kitchen,casement,single,aluminium_basic
small,medium,high,low,office,sliding,toughened,aluminium_standard
small,medium,low,medium,living,casement,double,aluminium_standard
medium,high,low,medium,bedroom,sliding,double,aluminium_standard
large,low,medium,low,kitchen,sliding,single,aluminium_basic
small,low,high,medium,living,sliding,toughened,aluminium_basic
medium,low,low,medium,living,sliding,single,aluminium_basic
small,high,low,medium,living,casement,double,aluminium_premium
small,high,high,high,office,sliding,double,aluminium_premium
small,medium,low,low,bedroom,casement,double,aluminium_basic
small,medium,low,high,living,casement,double,aluminium_standard
large,medium,high,medium,bedroom,sliding,double,aluminium_standard
small,low,high,high,office,casement,double,aluminium_basic
small,low,high,medium,living,sliding,double,aluminium_basic
small,medium,high,high,office,casement,double,aluminium_standard
large,low,medium,medium,office,sliding,single,aluminium_basic
small,medium,high,high,bedroom,casement,double,aluminium_standard
small,high,medium,high,living,sliding,double,aluminium_premium
large,medium,medium,high,office,sliding,double,aluminium_basic
large,high,medium,low,living,sliding,double,aluminium_standard
large,low,low,high,bedroom,casement,toughened,aluminium_standard
small,medium,medium,low,office,casement,double,aluminium_basic
large,low,medium,medium,bedroom,casement,single,aluminium_basic
large,high,low,high,living,casement,toughened,aluminium_standard
small,high,low,medium,living,casement,toughened,aluminium_premium
large,high,low,medium,bedroom,sliding,double,aluminium_premium
small,low,high,high,kitchen,casement,double,aluminium_basic
medium,low,low,low,office,casement,single,aluminium_basic
large,low,low,high,living,sliding,toughened,aluminium_basic
medium,low,medium,medium,living,sliding,single,aluminium_standard
small,high,low,medium,office,casement,double,aluminium_premium
large,high,high,high,bedroom,casement,toughened,aluminium_premium
small,medium,low,low,bedroom,casement,single,aluminium_basic
medium,medium,high,low,bedroom,sliding,toughened,aluminium_standard
small,low,low,medium,kitchen,casement,single,aluminium_basic
large,high,low,medium,kitchen,casement,toughened,aluminium_premium
large,high,low,low,living,casement,double,aluminium_standard
medium,high,low,high,bedroom,sliding,single,aluminium_premium
small,medium,high,medium,office,sliding,double,aluminium_basic
large,medium,high,low,living,casement,double,aluminium_standard
medium,high,medium,medium,office,sliding,double,aluminium_premium
large,high,high,high,living,sliding,double,aluminium_standard
large,high,low,low,kitchen,casement,double,aluminium_premium
small,medium,medium,medium,living,sliding,single,aluminium_standard
large,high,medium,high,kitchen,sliding,toughened,aluminium_premium
small,high,medium,medium,living,sliding,double,aluminium_premium
large,low,low,high,bedroom,sliding,toughened,aluminium_standard
medium,low,high,high,office,casement,toughened,aluminium_basic
large,medium,low,low,bedroom,sliding,single,aluminium_basic
small,high,medium,high,living,casement,toughened,aluminium_premium
small,high,low,medium,living,sliding,double,aluminium_premium
medium,low,low,high,living,sliding,toughened,aluminium_standard
large,medium,high,high,kitchen,sliding,toughened,aluminium_standard
large,low,high,low,office,sliding,double,aluminium_basic
medium,low,medium,high,office,sliding,toughened,aluminium_basic
large,low,low,high,living,sliding,double,aluminium_standard
large,low,low,medium,living,sliding,single,aluminium_basic
small,high,high,low,kitchen,sliding,double,aluminium_standard
large,high,low,low,bedroom,casement,double,aluminium_premium
large,low,low,low,bedroom,sliding,single,aluminium_standard
medium,medium,low,high,office,casement,toughened,aluminium_basic
medium,medium,high,low,kitchen,sliding,toughened,aluminium_standard
small,medium,medium,high,living,sliding,toughened,aluminium_standard
large,medium,medium,high,office,sliding,toughened,aluminium_standard
large,low,low,medium,kitchen,sliding,single,aluminium_standard
large,high,medium,medium,bedroom,sliding,double,aluminium_standard
small,medium,high,medium,kitchen,casement,double,aluminium_standard
small,low,high,medium,bedroom,casement,double,aluminium_basic
medium,medium,medium,medium,kitchen,casement,double,aluminium_standard
small,medium,medium,high,office,sliding,toughened,aluminium_standard
large,low,low,high,bedroom,casement,double,aluminium_standard
large,high,medium,low,office,sliding,toughened,aluminium_premium
small,high,low,high,office,casement,toughened,aluminium_premium
large,low,low,high,bedroom,casement,double,aluminium_basic
large,high,high,medium,bedroom,casement,double,aluminium_premium
small,low,high,high,living,casement,double,aluminium_basic
small,low,high,medium,living,sliding,toughened,aluminium_basic
large,low,high,low,living,sliding,toughened,aluminium_basic
large,high,medium,low,office,sliding,toughened,aluminium_premium
large,low,high,high,office,casement,double,aluminium_basic
medium,medium,medium,low,living,sliding,double,aluminium_basic
medium,high,high,high,office,sliding,double,aluminium_premium
medium,high,medium,low,office,casement,toughened,aluminium_premium
small,high,low,medium,bedroom,casement,toughened,aluminium_premium
medium,high,medium,medium,bedroom,casement,double,aluminium_standard
small,medium,medium,medium,office,casement,double,aluminium_standard
small,high,high,medium,living,sliding,double,aluminium_premium
medium,high,medium,high,kitchen,sliding,toughened,aluminium_premium
medium,low,low,low,living,casement,single,aluminium_basic
medium,high,low,high,kitchen,sliding,toughened,aluminium_premium
large,medium,high,medium,living,sliding,double,aluminium_basic
medium,medium,low,high,bedroom,sliding,double,aluminium_basic
large,medium,medium,low,office,sliding,double,aluminium_standard
small,medium,low,high,office,casement,toughened,aluminium_basic
large,high,high,low,bedroom,sliding,toughened,aluminium_standard
medium,high,medium,high,kitchen,sliding,single,aluminium_premium
small,medium,high,low,kitchen,casement,double,aluminium_basic
small,medium,medium,low,kitchen,sliding,double,aluminium_standard
small,high,low,medium,bedroom,sliding,double,aluminium_standard
large,medium,high,low,kitchen,sliding,toughened,aluminium_basic
medium,low,high,medium,bedroom,casement,double,aluminium_standard
small,medium,medium,medium,living,casement,single,aluminium_standard
small,medium,high,medium,living,sliding,double,aluminium_standard
small,low,medium,high,bedroom,sliding,toughened,aluminium_basic
large,low,medium,high,office,sliding,toughened,aluminium_standard
large,high,medium,high,living,sliding,toughened,aluminium_premium
medium,high,medium,high,kitchen,casement,toughened,aluminium_premium
large,low,low,low,bedroom,sliding,single,aluminium_standard
small,low,medium,low,kitchen,casement,single,aluminium_basic
medium,high,high,high,kitchen,sliding,toughened,aluminium_standard
small,medium,low,low,office,casement,single,aluminium_basic
small,low,high,low,kitchen,sliding,double,aluminium_basic
large,high,low,medium,office,casement,double,aluminium_premium
medium,medium,medium,medium,living,casement,single,aluminium_basic
large,low,low,medium,bedroom,sliding,single,aluminium_standard
large,medium,low,medium,kitchen,sliding,double,aluminium_standard
medium,high,high,low,bedroom,sliding,toughened,aluminium_premium
small,low,high,high,kitchen,casement,double,aluminium_basic
small,medium,medium,low,bedroom,sliding,single,aluminium_standard
medium,low,low,low,kitchen,casement,single,aluminium_basic
small,medium,low,low,kitchen,sliding,double,aluminium_basic
medium,high,low,medium,kitchen,sliding,double,aluminium_premium
medium,high,medium,medium,kitchen,casement,toughened,aluminium_standard
large,low,medium,medium,kitchen,casement,single,aluminium_standard
medium,medium,medium,high,kitchen,casement,toughened,aluminium_standard
large,low,medium,low,kitchen,sliding,single,aluminium_standard
small,low,medium,high,kitchen,sliding,double,aluminium_basic
small,medium,high,medium,kitchen,casement,double,aluminium_standard
small,medium,low,high,bedroom,casement,toughened,aluminium_basic
small,medium,low,low,office,casement,double,aluminium_standard
large,high,low,low,kitchen,sliding,double,aluminium_standard
small,low,low,medium,office,sliding,single,aluminium_basic
medium,low,low,medium,kitchen,sliding,single,aluminium_basic
medium,high,low,high,kitchen,casement,double,aluminium_premium
medium,medium,low,medium,bedroom,sliding,single,aluminium_basic
large,high,low,medium,living,sliding,double,aluminium_premium
small,high,high,low,living,sliding,double,aluminium_premium
small,high,low,medium,bedroom,sliding,double,aluminium_premium
small,low,high,medium,office,casement,double,aluminium_basic
large,high,medium,low,living,casement,double,aluminium_standard
medium,low,low,low,bedroom,casement,single,aluminium_basic
medium,low,medium,high,bedroom,sliding,double,aluminium_basic
small,low,medium,medium,living,casement,single,aluminium_basic
medium,medium,medium,low,office,casement,double,aluminium_standard
medium,low,high,high,bedroom,casement,double,aluminium_basic
large,low,medium,high,kitchen,casement,toughened,aluminium_basic
large,medium,medium,medium,office,sliding,single,aluminium_standard
large,low,medium,medium,office,sliding,single,aluminium_basic
large,high,low,high,living,sliding,toughened,aluminium_premium
small,high,low,low,living,sliding,double,aluminium_premium
large,low,high,high,kitchen,casement,double,aluminium_standard
medium,medium,high,medium,bedroom,sliding,double,aluminium_standard
small,high,low,low,living,casement,double,aluminium_premium
medium,medium,high,low,living,casement,double,aluminium_standard
medium,medium,low,high,office,casement,toughened,aluminium_standard
medium,high,medium,medium,living,casement,double,aluminium_standard
large,medium,medium,high,living,sliding,toughened,aluminium_standard
large,high,high,high,living,sliding,double,aluminium_premium
small,medium,low,high,living,casement,double,aluminium_standard
small,high,low,low,office,sliding,double,aluminium_premium
large,low,high,low,kitchen,sliding,double,aluminium_basic
medium,high,low,medium,kitchen,sliding,double,aluminium_premium
small,high,medium,medium,bedroom,casement,double,aluminium_premium
large,high,high,high,living,sliding,double,aluminium_standard
large,high,high,high,office,sliding,double,aluminium_premium
large,medium,low,high,bedroom,sliding,double,aluminium_basic
medium,low,high,medium,bedroom,sliding,double,aluminium_standard
large,high,low,low,kitchen,sliding,toughened,aluminium_standard
large,medium,low,low,office,casement,single,aluminium_basic
large,low,low,high,office,sliding,toughened,aluminium_standard
large,low,low,high,office,casement,toughened,aluminium_standard
small,low,low,high,kitchen,sliding,toughened,aluminium_basic
small,low,high,high,kitchen,casement,double,aluminium_basic
large,high,medium,medium,kitchen,sliding,double,aluminium_premium
medium,high,medium,low,kitchen,sliding,double,aluminium_premium
small,medium,high,high,kitchen,casement,toughened,aluminium_standard
large,medium,high,medium,living,casement,toughened,aluminium_basic
small,medium,medium,high,living,casement,toughened,aluminium_standard
small,low,medium,high,office,casement,toughened,aluminium_basic
medium,low,medium,low,bedroom,casement,single,aluminium_basic
large,high,medium,high,office,casement,toughened,aluminium_standard
large,low,medium,low,bedroom,sliding,single,aluminium_basic
medium,low,low,low,kitchen,casement,single,aluminium_basic
medium,low,high,low,bedroom,sliding,double,aluminium_basic
large,medium,low,medium,office,sliding,single,aluminium_standard
large,medium,medium,medium,office,sliding,double,aluminium_basic
medium,high,medium,low,bedroom,casement,double,aluminium_premium
small,low,medium,high,living,casement,toughened,aluminium_basic
small,low,low,low,kitchen,casement,single,aluminium_basic
medium,high,low,high,kitchen,sliding,single,aluminium_standard
small,low,medium,low,office,sliding,single,aluminium_basic
medium,low,low,high,living,casement,toughened,aluminium_basic
small,medium,low,medium,bedroom,casement,double,aluminium_standard
small,high,medium,high,kitchen,sliding,toughened,aluminium_standard
large,high,low,low,living,casement,double,aluminium_premium
large,high,high,medium,kitchen,casement,double,aluminium_premium
small,high,high,high,living,sliding,double,aluminium_premium
small,medium,high,high,living,sliding,double,aluminium_basic
large,medium,high,high,office,sliding,toughened,aluminium_standard
large,low,medium,high,kitchen,sliding,toughened,aluminium_basic
large,low,medium,high,bedroom,sliding,toughened,aluminium_basic
medium,low,medium,medium,office,sliding,single,aluminium_basic
small,low,high,medium,office,casement,double,aluminium_basic
large,medium,high,medium,bedroom,sliding,double,aluminium_basic
small,high,low,medium,office,sliding,double,aluminium_premium
medium,medium,low,low,living,casement,single,aluminium_standard
medium,low,high,medium,living,casement,double,aluminium_basic
large,medium,high,high,kitchen,sliding,double,aluminium_standard
medium,high,high,high,kitchen,sliding,toughened,aluminium_standard
small,high,high,medium,bedroom,sliding,double,aluminium_premium
large,medium,low,high,kitchen,sliding,double,aluminium_basic
small,medium,high,medium,living,casement,double,aluminium_standard
small,medium,low,high,bedroom,sliding,toughened,aluminium_standard
medium,low,high,low,bedroom,casement,double,aluminium_standard
medium,medium,high,low,kitchen,sliding,double,aluminium_standard
medium,medium,high,medium,living,casement,double,aluminium_basic
medium,medium,low,medium,bedroom,casement,double,aluminium_basic
medium,high,low,medium,living,sliding,double,aluminium_premium
large,high,medium,high,living,sliding,toughened,aluminium_premium
small,low,high,medium,living,casement,double,aluminium_basic
small,low,medium,low,kitchen,casement,single,aluminium_basic
small,high,medium,high,office,sliding,single,aluminium_standard
small,high,low,medium,office,casement,double,aluminium_premium
medium,high,low,high,bedroom,casement,toughened,aluminium_premium
small,medium,medium,high,living,casement,toughened,aluminium_standard
large,medium,high,medium,kitchen,sliding,toughened,aluminium_standard
large,high,low,high,living,sliding,single,aluminium_standard
small,medium,high,low,living,casement,double,aluminium_standard
small,medium,high,low,kitchen,sliding,toughened,aluminium_standard
large,low,medium,high,office,sliding,double,aluminium_basic
large,high,medium,medium,living,sliding,double,aluminium_premium
medium,high,medium,high,living,casement,toughened,aluminium_premium
large,medium,medium,low,office,sliding,double,aluminium_basic
medium,high,low,high,kitchen,sliding,single,aluminium_premium
medium,low,low,high,bedroom,sliding,toughened,aluminium_standard
medium,low,medium,low,office,sliding,single,aluminium_standard
medium,low,low,high,bedroom,sliding,double,aluminium_basic
medium,high,medium,high,bedroom,sliding,toughened,aluminium_premium
small,high,high,medium,office,sliding,toughened,aluminium_premium
large,high,high,medium,living,sliding,double,aluminium_premium
medium,high,high,low,bedroom,casement,double,aluminium_standard
large,high,medium,low,bedroom,casement,toughened,aluminium_standard
large,low,high,low,kitchen,sliding,toughened,aluminium_basic
medium,medium,low,medium,living,sliding,double,aluminium_standard
small,low,high,low,bedroom,casement,double,aluminium_basic
medium,high,high,low,kitchen,casement,toughened,aluminium_standard
small,low,high,low,living,sliding,double,aluminium_basic
large,high,low,medium,office,casement,double,aluminium_standard
small,high,medium,high,office,sliding,toughened,aluminium_premium
small,low,low,low,kitchen,casement,single,aluminium_basic
small,high,medium,high,office,casement,toughened,aluminium_premium
large,medium,medium,low,bedroom,sliding,double,aluminium_standard
large,high,high,high,living,casement,toughened,aluminium_standard
small,medium,medium,medium,bedroom,casement,single,aluminium_standard
small,medium,low,medium,bedroom,casement,double,aluminium_basic
medium,high,low,low,office,sliding,double,aluminium_premium
small,low,medium,high,bedroom,casement,toughened,aluminium_basic
medium,medium,high,medium,office,sliding,double,aluminium_standard
small,low,high,low,living,casement,toughened,aluminium_basic
medium,medium,low,low,living,sliding,double,aluminium_standard
large,high,high,medium,bedroom,casement,toughened,aluminium_standard
small,high,medium,medium,kitchen,casement,toughened,aluminium_premium
small,medium,medium,low,office,casement,single,aluminium_basic
small,high,low,high,office,casement,toughened,aluminium_premium
small,medium,medium,high,bedroom,sliding,toughened,aluminium_standard
medium,high,low,high,office,sliding,toughened,aluminium_premium
small,low,medium,low,office,sliding,single,aluminium_basic
large,high,low,medium,kitchen,sliding,double,aluminium_premium
large,low,high,low,kitchen,sliding,double,aluminium_basic
small,high,medium,medium,bedroom,sliding,double,aluminium_premium
large,low,medium,high,kitchen,sliding,toughened,aluminium_basic
small,high,low,high,bedroom,sliding,toughened,aluminium_premium
small,low,low,medium,living,sliding,single,aluminium_basic
large,medium,medium,medium,bedroom,sliding,double,aluminium_basic
small,medium,low,low,living,casement,double,aluminium_basic
large,low,medium,high,bedroom,casement,toughened,aluminium_basic
medium,high,high,low,office,casement,double,aluminium_premium
small,low,low,low,kitchen,casement,single,aluminium_basic
medium,high,medium,low,living,sliding,toughened,aluminium_standard
large,medium,high,high,bedroom,casement,double,aluminium_standard
medium,high,high,low,kitchen,sliding,double,aluminium_standard
medium,medium,medium,low,bedroom,sliding,double,aluminium_basic
large,high,low,low,kitchen,sliding,double,aluminium_premium
medium,high,medium,low,kitchen,sliding,double,aluminium_premium
medium,high,high,low,bedroom,sliding,toughened,aluminium_standard
large,low,medium,low,living,sliding,single,aluminium_basic
medium,low,low,high,living,casement,toughened,aluminium_basic
large,medium,high,low,office,sliding,toughened,aluminium_standard
medium,medium,medium,medium,kitchen,sliding,double,aluminium_standard
large,low,low,low,office,casement,single,aluminium_basic
large,medium,high,low,office,sliding,toughened,aluminium_basic
medium,low,low,high,bedroom,sliding,toughened,aluminium_standard
medium,high,high,high,bedroom,casement,double,aluminium_premium
medium,medium,medium,medium,bedroom,sliding,single,aluminium_basic
small,medium,low,medium,kitchen,sliding,double,aluminium_standard
small,low,high,high,bedroom,casement,double,aluminium_basic
small,medium,low,high,bedroom,casement,toughened,aluminium_standard
large,medium,low,low,kitchen,sliding,single,aluminium_standard
medium,high,medium,high,kitchen,casement,toughened,aluminium_standard
large,medium,low,medium,living,sliding,double,aluminium_basic
small,high,high,low,bedroom,sliding,double,aluminium_premium
medium,low,high,medium,bedroom,casement,toughened,aluminium_basic
large,medium,high,low,bedroom,sliding,double,aluminium_standard
medium,high,high,high,living,sliding,double,aluminium_premium
large,low,medium,medium,bedroom,sliding,single,aluminium_basic
medium,medium,low,low,living,sliding,double,aluminium_standard
small,low,medium,low,office,sliding,single,aluminium_basic
small,medium,low,high,living,casement,toughened,aluminium_basic
medium,low,low,high,office,sliding,toughened,aluminium_basic
large,low,low,high,bedroom,casement,toughened,aluminium_basic
small,high,medium,medium,office,sliding,double,aluminium_standard
small,low,low,low,living,casement,single,aluminium_basic
small,medium,medium,high,kitchen,casement,toughened,aluminium_standard
medium,medium,high,medium,office,casement,double,aluminium_standard
medium,high,high,medium,office,sliding,double,aluminium_premium
large,medium,low,medium,bedroom,sliding,double,aluminium_standard
large,medium,medium,high,living,casement,toughened,aluminium_basic
large,medium,high,high,office,casement,double,aluminium_standard
medium,low,medium,low,office,sliding,single,aluminium_standard
medium,low,medium,low,office,casement,single,aluminium_basic
large,medium,low,high,office,casement,double,aluminium_standard
large,high,high,medium,kitchen,casement,double,aluminium_standard
medium,low,low,medium,living,casement,single,aluminium_basic
large,high,low,medium,bedroom,sliding,toughened,aluminium_premium
small,medium,high,low,bedroom,sliding,double,aluminium_basic
medium,medium,high,medium,kitchen,sliding,toughened,aluminium_standard
large,low,medium,low,living,casement,single,aluminium_basic
medium,medium,high,low,office,sliding,double,aluminium_basic
small,low,medium,medium,kitchen,casement,single,aluminium_basic
medium,medium,medium,medium,living,casement,double,aluminium_standard
medium,medium,medium,high,office,sliding,double,aluminium_standard
medium,low,high,high,kitchen,casement,double,aluminium_standard
medium,low,low,medium,living,sliding,single,aluminium_basic
small,low,medium,low,bedroom,casement,single,aluminium_basic
medium,medium,low,low,bedroom,sliding,single,aluminium_basic
medium,medium,low,low,living,casement,single,aluminium_standard
large,high,high,low,bedroom,sliding,double,aluminium_premium
medium,low,low,low,living,sliding,single,aluminium_standard
large,medium,low,high,office,casement,toughened,aluminium_basic
small,medium,high,medium,living,sliding,double,aluminium_basic
small,low,medium,high,office,casement,toughened,aluminium_basic
small,high,low,low,kitchen,sliding,double,aluminium_premium
small,low,high,low,living,casement,double,aluminium_basic
large,high,low,low,kitchen,sliding,double,aluminium_premium
medium,medium,low,low,bedroom,sliding,single,aluminium_standard
small,high,medium,medium,office,sliding,double,aluminium_premium
medium,medium,low,low,living,sliding,single,aluminium_basic
large,low,high,medium,kitchen,sliding,double,aluminium_basic
large,low,low,low,office,sliding,single,aluminium_standard
large,low,medium,medium,office,sliding,single,aluminium_standard
small,high,medium,high,bedroom,sliding,toughened,aluminium_premium
medium,medium,high,low,bedroom,sliding,double,aluminium_standard
medium,low,medium,medium,office,sliding,single,aluminium_standard
medium,low,low,high,office,sliding,toughened,aluminium_standard
large,medium,medium,low,living,casement,double,aluminium_standard
small,low,high,low,office,sliding,double,aluminium_basic
large,medium,medium,low,living,casement,double,aluminium_standard
large,medium,medium,medium,office,casement,double,aluminium_basic
medium,medium,medium,medium,bedroom,casement,double,aluminium_basic
large,medium,high,high,living,sliding,toughened,aluminium_standard
medium,medium,medium,medium,kitchen,sliding,single,aluminium_basic
small,high,medium,medium,bedroom,casement,double,aluminium_premium
medium,low,low,low,living,sliding,single,aluminium_basic
small,high,high,low,living,sliding,toughened,aluminium_premium
medium,low,medium,low,kitchen,casement,single,aluminium_basic
large,high,high,low,living,casement,double,aluminium_premium
large,medium,medium,low,office,casement,double,aluminium_standard
small,low,medium,low,kitchen,sliding,single,aluminium_basic
small,low,medium,low,bedroom,casement,single,aluminium_basic
small,high,low,high,bedroom,sliding,double,aluminium_premium
medium,high,low,high,office,sliding,double,aluminium_premium
medium,low,low,high,bedroom,casement,double,aluminium_basic
small,high,high,high,living,sliding,toughened,aluminium_standard
large,high,high,low,living,sliding,toughened,aluminium_premium
medium,high,low,high,office,sliding,toughened,aluminium_premium
medium,medium,high,low,bedroom,casement,toughened,aluminium_basic
medium,medium,medium,high,bedroom,casement,toughened,aluminium_basic
small,high,medium,medium,office,sliding,double,aluminium_premium
small,high,medium,high,kitchen,casement,double,aluminium_premium
small,medium,low,high,bedroom,sliding,toughened,aluminium_basic
small,medium,high,low,kitchen,casement,double,aluminium_standard
small,low,low,high,bedroom,casement,toughened,aluminium_basic
large,low,high,medium,bedroom,sliding,toughened,aluminium_basic
large,medium,medium,low,bedroom,sliding,double,aluminium_basic
small,high,low,low,bedroom,casement,double,aluminium_premium
medium,high,high,high,living,sliding,double,aluminium_premium
small,high,high,low,kitchen,sliding,toughened,aluminium_standard
large,high,medium,low,kitchen,sliding,toughened,aluminium_premium
large,low,low,low,bedroom,sliding,single,aluminium_standard
medium,medium,low,low,bedroom,casement,single,aluminium_standard
large,high,low,low,kitchen,sliding,double,aluminium_standard
small,low,medium,low,living,casement,single,aluminium_basic
medium,high,low,medium,office,casement,double,aluminium_premium
small,medium,medium,high,office,sliding,double,aluminium_standard
small,low,medium,medium,kitchen,casement,single,aluminium_basic
medium,medium,medium,low,bedroom,sliding,double,aluminium_standard
small,medium,high,low,bedroom,casement,toughened,aluminium_basic
large,low,low,high,living,casement,toughened,aluminium_basic
small,low,low,medium,office,casement,single,aluminium_basic
medium,low,medium,high,living,sliding,double,aluminium_basic
medium,low,medium,medium,office,casement,single,aluminium_basic
medium,low,low,low,kitchen,sliding,single,aluminium_basic
small,low,medium,high,office,sliding,double,aluminium_basic
medium,low,low,high,living,sliding,toughened,aluminium_basic
medium,high,high,low,living,sliding,toughened,aluminium_premium
small,medium,medium,high,living,casement,toughened,aluminium_standard
large,low,low,medium,kitchen,sliding,single,aluminium_basic
small,high,medium,medium,office,casement,double,aluminium_premium
medium,high,low,medium,office,sliding,double,aluminium_premium
medium,high,low,medium,living,sliding,toughened,aluminium_standard
small,medium,medium,low,office,sliding,double,aluminium_standard
large,low,high,high,bedroom,sliding,double,aluminium_basic
medium,high,low,medium,bedroom,sliding,double,aluminium_premium
medium,medium,low,low,bedroom,sliding,single,aluminium_basic
medium,medium,low,high,office,casement,toughened,aluminium_basic
small,medium,high,high,kitchen,sliding,toughened,aluminium_basic
medium,high,high,low,kitchen,sliding,toughened,aluminium_premium
large,low,medium,low,kitchen,sliding,single,aluminium_basic
medium,high,high,medium,kitchen,sliding,double,aluminium_premium
medium,high,medium,high,bedroom,sliding,toughened,aluminium_premium
large,low,medium,high,bedroom,casement,toughened,aluminium_basic
medium,low,high,low,living,sliding,double,aluminium_standard
small,low,medium,high,office,casement,double,aluminium_basic
small,medium,high,medium,office,sliding,toughened,aluminium_basic
small,low,medium,high,kitchen,sliding,toughened,aluminium_basic
large,high,high,low,bedroom,sliding,toughened,aluminium_standard
medium,low,high,low,kitchen,casement,toughened,aluminium_basic
small,high,medium,medium,living,sliding,toughened,aluminium_premium
large,medium,low,medium,office,casement,single,aluminium_standard
medium,high,medium,high,office,sliding,single,aluminium_premium
large,high,high,high,kitchen,casement,double,aluminium_standard
small,low,low,low,living,sliding,single,aluminium_basic
